FileConnections,MethodConnections,FileOccurances,MethodOccurances
18,1,197,252
15,5,115,216
18,4,70,107
28,6,65,78
24,6,54,128
25,4,34,60
14,5,25,76
13,20,16,51
14,1,25,48
6,13,16,49
7,5,10,36
14,4,10,34
15,1,16,31
25,6,12,31
12,5,7,34
9,5,10,30
10,3,3,24
22,17,7,21
14,9,6,18
8,6,7,27
10,5,1,18
8,8,1,15
5,2,1,11
9,15,4,21
8,10,2,13
9,11,3,11
7,7,3,10
18,8,3,12
8,4,1,7
4,3,1,16
9,5,1,18
3,9,5,15
7,9,0,7
6,0,0,6
5,4,0,2
5,7,1,10
10,1,0,3
3,17,1,13
11,1,1,12
3,5,1,6
2,5,1,2
10,4,1,7
11,1,0,7
3,1,0,8
3,7,0,9
1,12,0,8
7,2,1,4
4,6,1,0
14,7,0,3
7,10,0,4
3,18,0,4
9,9,1,7
4,0,0,1
4,4,0,2
2,1,0,4
4,2,0,0
4,2,0,1
2,10,0,0
1,1,0,0
0,7,1,6
1,0,0,3
4,5,0,1
2,2,0,0
2,4,1,4
1,14,0,6
0,5,1,3
4,2,0,1
3,5,0,1
2,2,0,9
6,3,0,6
4,1,0,2
3,0,1,3
4,6,0,5
3,0,0,3
0,4,0,1
1,1,0,2
11,5,0,1
4,3,0,1
3,3,0,2
1,25,0,4
6,3,0,2
3,4,0,1
1,3,0,23
3,0,0,0
3,4,0,1
6,10,0,2
0,6,0,0
2,3,0,0
3,6,0,1
1,3,0,0
1,3,1,2
2,2,0,0
1,10,0,0
2,4,0,0
9,4,0,0
2,5,0,0
0,13,0,2
1,2,0,2
3,5,0,4
3,3,0,0
0.10977242302543508,0.6885989790130459,0.002677376171352075,0.006239364719228588
